run_id,inference_time,total_tracks,total_ghosts,overall_ghost_rate,event_avg_ghost_rate,max_slopes,max_tolerance,scatter
72,{'sec': 8.24677300453186},44965,26300,58.48993661736907,51.64992570379052,"(np.float64(1.5657501238837348), np.float64(1.5657501238837348))","(np.float64(1.2674812504703192), np.float64(1.2674812504703192))",1.4790568859426858
73,{'sec': 7.558690786361694},47129,30307,64.3064779647351,57.44302185271185,"(np.float64(1.7224137883404094), np.float64(1.7224137883404094))","(np.float64(1.4006664922765315), np.float64(1.4006664922765315))",1.8850292239695925
74,{'sec': 8.089263200759888},44329,25155,56.74614811974103,50.00762662285459,"(np.float64(1.6545149213529435), np.float64(1.6545149213529435))","(np.float64(1.2339310309733338), np.float64(1.2339310309733338))",1.5391535602478539
75,{'sec': 8.266952991485596},42844,22427,52.34571935393521,46.010522849825044,"(np.float64(1.9422707520505478), np.float64(1.9422707520505478))","(np.float64(1.1461305762539848), np.float64(1.1461305762539848))",1.5613592553090876
76,{'sec': 7.51226282119751},48709,33283,68.3302880371184,61.335869817086795,"(np.float64(1.8706240898622646), np.float64(1.8706240898622646))","(np.float64(1.5027088013346965), np.float64(1.5027088013346965))",1.4649413836684877
77,{'sec': 8.171452045440674},42745,22313,52.20025734003977,45.872404318790544,"(np.float64(1.6663224899282034), np.float64(1.6663224899282034))","(np.float64(1.1424514859275492), np.float64(1.1424514859275492))",1.7002736522888076
78,{'sec': 7.21254825592041},51768,38972,75.28202750734044,68.42130075541857,"(np.float64(1.926916678353607), np.float64(1.926916678353607))","(np.float64(1.7064677385914657), np.float64(1.7064677385914657))",1.4409754731255937
79,{'sec': 7.983051061630249},42640,22116,51.866791744840526,45.55706086378597,"(np.float64(1.883663526080073), np.float64(1.883663526080073))","(np.float64(1.1344284197879775), np.float64(1.1344284197879775))",1.9905041058153312
80,{'sec': 7.2571752071380615},52523,40369,76.85966148163662,70.0731702219586,"(np.float64(1.7161480675493896), np.float64(1.7161480675493896))","(np.float64(1.7582543608281354), np.float64(1.7582543608281354))",1.6460281917089639
81,{'sec': 7.694852113723755},46534,29291,62.94537327545451,55.91855682426648,"(np.float64(1.5161089378289674), np.float64(1.5161089378289674))","(np.float64(1.3669758393078972), np.float64(1.3669758393078972))",1.4904873872869913
82,{'sec': 7.6483869552612305},46261,28821,62.300858174272065,55.36376928005419,"(np.float64(1.410230839875462), np.float64(1.410230839875462))","(np.float64(1.355147860356011), np.float64(1.355147860356011))",1.421143071277982
83,{'sec': 7.977363109588623},44340,25224,56.88768606224628,50.1484864108448,"(np.float64(1.620761062514909), np.float64(1.620761062514909))","(np.float64(1.2398625634623541), np.float64(1.2398625634623541))",1.6151366497606112
84,{'sec': 7.706954002380371},43185,23165,53.641310640268614,47.1473523715604,"(np.float64(1.166756310404207), np.float64(1.166756310404207))","(np.float64(1.1753484012374646), np.float64(1.1753484012374646))",1.65409296935711
85,{'sec': 7.268401145935059},52429,40281,76.82961719658968,70.07127013590517,"(np.float64(1.7217887630191047), np.float64(1.7217887630191047))","(np.float64(1.7537588064786536), np.float64(1.7537588064786536))",1.0369008275413867
86,{'sec': 7.702085256576538},50227,36170,72.01306070440201,65.05256826222823,"(np.float64(1.8596114668388841), np.float64(1.8596114668388841))","(np.float64(1.6033616395078303), np.float64(1.6033616395078303))",1.1320564955055996
87,{'sec': 7.570528984069824},45338,26979,59.50637434381755,52.63283232317325,"(np.float64(1.3087413209933692), np.float64(1.3087413209933692))","(np.float64(1.2866508781249655), np.float64(1.2866508781249655))",1.9072457649061398
88,{'sec': 7.388556003570557},50403,36623,72.66035751840168,65.72117293061143,"(np.float64(1.415833747090292), np.float64(1.415833747090292))","(np.float64(1.6178926769740969), np.float64(1.6178926769740969))",1.6698475197050417
89,{'sec': 8.096864938735962},40467,18157,44.8686584130279,39.096183081891354,"(np.float64(1.875161568542135), np.float64(1.875161568542135))","(np.float64(1.00652251138898), np.float64(1.00652251138898))",1.656290915582463
90,{'sec': 7.531781911849976},47543,31158,65.53646172938183,58.58186827366641,"(np.float64(1.3783584662653776), np.float64(1.3783584662653776))","(np.float64(1.4356172178269127), np.float64(1.4356172178269127))",1.7038521639508364
91,{'sec': 7.294857025146484},53909,42917,79.61008365950026,73.15342867660351,"(np.float64(1.6947499992432915), np.float64(1.6947499992432915))","(np.float64(1.868597923171464), np.float64(1.868597923171464))",1.7105617623297737
92,{'sec': 7.659682035446167},49347,34475,69.86240298295742,62.84491554593713,"(np.float64(1.7420278993183465), np.float64(1.7420278993183465))","(np.float64(1.545022194590316), np.float64(1.545022194590316))",1.5960976377118585
93,{'sec': 8.15306305885315},42579,22024,51.72502877005096,45.42336162847733,"(np.float64(1.4494955134519982), np.float64(1.4494955134519982))","(np.float64(1.1331944210793283), np.float64(1.1331944210793283))",1.6724711658440707
94,{'sec': 6.97742223739624},53514,42385,79.20357289681205,72.77139565725622,"(np.float64(1.092835416704998), np.float64(1.092835416704998))","(np.float64(1.8631158218896517), np.float64(1.8631158218896517))",1.3680008271691597
95,{'sec': 7.1816229820251465},54126,43322,80.03916786756827,73.63402270583238,"(np.float64(1.8005329123791491), np.float64(1.8005329123791491))","(np.float64(1.887968316465472), np.float64(1.887968316465472))",1.7845089182944625
96,{'sec': 8.254127264022827},40434,18100,44.76430726616214,39.00120532936596,"(np.float64(1.6517590683458288), np.float64(1.6517590683458288))","(np.float64(1.003209810603065), np.float64(1.003209810603065))",1.0925494524229977
97,{'sec': 8.54390287399292},44351,25192,56.8014249960542,50.08145064639173,"(np.float64(1.8947623817176613), np.float64(1.8947623817176613))","(np.float64(1.2358966043411792), np.float64(1.2358966043411792))",1.7240948489237642
98,{'sec': 6.9683849811553955},55457,45722,82.44585895378401,76.18014891817552,"(np.float64(1.470104798547744), np.float64(1.470104798547744))","(np.float64(1.9919705219103347), np.float64(1.9919705219103347))",1.4858228328990406
99,{'sec': 8.482306003570557},42627,22088,51.81692354610927,45.51148230419074,"(np.float64(1.8962523378013572), np.float64(1.8962523378013572))","(np.float64(1.1335194429977542), np.float64(1.1335194429977542))",1.679110950740165
